name,proportion_male,count
bangti,NA,NA
bani,0.81,670
banothile,0,2
banu,0.06999999999999995,6694
bao,0.71,1063
baojun,0.89,9
baptiste,0.99,9868
barbara,0.020000000000000018,94709
bärbel,NA,NA
barnabas,0.98,447
barnaby,0.99,129
barnum,0.89,9
barrie,0.96,653
barry,0.97,12863
barryjohn,1,4
bart,0.99,16580
bartholomew,0.99,146
bartlomiej,1,941
bartosz,1,16179
bas,0.97,6973
bashar,0.98,1486
bashir,0.98,1749
basil,0.97,1766
baskaran,0.94,87
bassam,0.98,3258
bassey,0.85,402
bastiaan,0.99,561
bastian,0.99,5082
basudeb,1,13
bawar,0.97,59
bayan,0.19999999999999996,641
bayard,0.72,98
beate,0.020000000000000018,4977
beatrice,0.020000000000000018,24617
beatriz,0.010000000000000009,27836
becan,0.69,13
becca,0.030000000000000027,1691
becky,0.030000000000000027,6413
begum,0.050000000000000044,452
behice,0.020000000000000018,249
behram,0.97,222
behrang,0.98,167
behzad,0.99,1490
beini,0.38,13
beining,0,2
beite,0.67,3
bela,0.27,3299
belal,0.96,1279
belen,0.010000000000000009,13681
belinda,0.020000000000000018,8786
beltran,0.94,228
bemin,0.5,2
ben,0.95,77991
bence,0.99,2951
bencie,0.5,2
benedict,0.97,1849
benedikt,1,2248
benediktas,1,8
bengt,0.98,1846
benita,0.020000000000000018,1414
benito,0.98,5639
benjamin,0.99,62465
benn,0.91,816
benno,0.99,985
benny,0.92,15493
benoit,0.99,27836
berc,0.82,28
beren,0.10999999999999999,1362
berend,0.98,530
berk,0.97,15838
berke,0.96,4972
berker,0.97,545
bernabe,0.97,576
bernadette,0.020000000000000018,10625
bernadin,0.97,174
bernard,0.98,38897
bernardeta,0,50
bernardino,0.98,853
bernardo,0.99,7259
bernd,0.99,12170
bernhard,1,4969
bert,0.97,9442
bertha,0.030000000000000027,1225
bertram,0.97,367
bertrand,0.97,14197
beth,0.030000000000000027,4286
bethan,0.030000000000000027,293
bethany,0.030000000000000027,1003
betsabé,NA,NA
bettina,0.020000000000000018,10903
betty,0.010000000000000009,31159
bev,0.06000000000000005,1265
bevelynn,NA,NA
beverley,0.030000000000000027,1676
beverly,0.040000000000000036,3274
bhagirath,0.95,19
bhakti,0.49,94
bharat,0.99,1338
bharath,0.99,508
bharathram,NA,NA
bharati,0.050000000000000044,60
bhaskar,0.99,510
bhautesh,1,1
bhavik,0.99,220
bhavish,1,63
bhoopesh,1,5
bhujanga,1,1
bhumika,0.030000000000000027,72
bhupendra,0.98,195
bhushan,0.99,348
biagio,0.99,6161
bianca,0.020000000000000018,33571
biao,0.98,93
bibi,0.39,12667
bijan,0.98,500
bijetri,NA,NA
bijol,1,1
biju,0.92,459
bikash,0.99,303
bikila,1,17
bilal,0.97,30890
bilkan,0.74,23
bill,0.97,15510
